Date,Content type,Views,Subscribers gained
2016-10-09,Other,15,0
2016-10-10,Other,10,0
2016-10-11,Other,11,0
2016-10-12,Other,15,0
2016-10-13,Other,15,0
2016-10-14,Other,9,0
2016-10-15,Other,21,0
2016-10-16,Other,21,0
2016-10-17,Other,35,1
2016-10-18,Other,15,0
2016-10-19,Other,19,0
2016-10-20,Other,25,0
2016-10-21,Other,11,0
2016-10-22,Other,20,1
2016-10-23,Other,15,0
2016-10-24,Other,12,0
2016-10-25,Other,18,0
2016-10-26,Other,21,0
2016-10-27,Other,24,0
2016-10-28,Other,34,1
2016-10-29,Other,30,0
2016-10-30,Other,46,0
2016-10-31,Other,25,0
2016-11-01,Other,631,1
2016-11-02,Other,1163,11
2016-11-03,Other,654,2
2016-11-04,Other,258,0
2016-11-05,Other,208,1
2016-11-06,Other,194,0
2016-11-07,Other,96,0
2016-11-08,Other,93,1
2016-11-09,Other,74,1
2016-11-10,Other,71,0
2016-11-11,Other,95,1
2016-11-12,Other,104,0
2016-11-13,Other,122,0
2016-11-14,Other,127,1
2016-11-15,Other,78,0
2016-11-16,Other,92,0
2016-11-17,Other,76,1
2016-11-18,Other,83,0
2016-11-19,Other,95,0
2016-11-20,Other,107,1
2016-11-21,Other,68,0
2016-11-22,Other,69,0
2016-11-23,Other,371,1
2016-11-24,Other,294,2
2016-11-25,Other,293,1
2016-11-26,Other,251,0
2016-11-27,Other,408,2
2016-11-28,Other,446,1
2016-11-29,Other,298,0
2016-11-30,Other,206,0
2016-12-01,Other,166,1
2016-12-02,Other,169,0
2016-12-03,Other,214,1
2016-12-04,Other,175,2
2016-12-05,Other,97,0
2016-12-06,Other,110,0
2016-12-07,Other,102,1
2016-12-08,Other,260,0
2016-12-09,Other,204,2
2016-12-10,Other,155,1
2016-12-11,Other,168,0
2016-12-12,Other,129,0
2016-12-13,Other,132,1
2016-12-14,Other,92,0
2016-12-15,Other,88,0
2016-12-16,Other,112,0
2016-12-17,Other,144,0
2016-12-18,Other,155,0
2016-12-19,Other,120,0
2016-12-20,Other,131,0
2016-12-21,Other,126,0
2016-12-22,Other,129,0
2016-12-23,Other,144,0
2016-12-24,Other,129,0
2016-12-25,Other,179,0
2016-12-26,Other,162,0
2016-12-27,Other,175,2
2016-12-28,Other,125,1
2016-12-29,Other,156,0
2016-12-30,Other,126,1
2016-12-31,Other,104,0
2017-01-01,Other,111,0
2017-01-02,Other,142,1
2017-01-03,Other,122,0
2017-01-04,Other,121,0
2017-01-05,Other,116,0
2017-01-06,Other,168,0
2017-01-07,Other,145,2
2017-01-08,Other,124,0
2017-01-09,Other,115,0
2017-01-10,Other,75,0
2017-01-11,Other,86,0
2017-01-12,Other,83,0
2017-01-13,Other,75,0
2017-01-14,Other,113,0
2017-01-15,Other,127,0
2017-01-16,Other,101,0
2017-01-17,Other,132,2
2017-01-18,Other,88,0
2017-01-19,Other,73,0
2017-01-20,Other,77,0
2017-01-21,Other,134,0
2017-01-22,Other,131,1
2017-01-23,Other,80,0
